英文,谷歌翻译,引用数量？
ragna the bloodedge,血刃拉格纳,1255
alternate skin color,备用肤色,1254
ib,IB,1254
marie antoinette (fate),玛丽·安托瓦内特（命运）,1254
molestation,骚扰,1254
yotsubato!,四瓣！,1254
mouth veil,面纱,1253
sonozaki shion,园崎诗园,1253
omaru polka,大丸波尔卡,1252
onmyouji,阴阳师,1252
tsukikage yuri,月影尤里,1252
cle masahiro,cle masahiro,1251
curtsey,屈膝礼,1251
final fantasy viii,最终幻想八、1251,1251
jessie (pokemon),杰西（宠物小精灵）,1251
kamio misuzu,神尾水铃,1251
midna,米德纳,1251
open window,开窗,1251
penis outside,阴茎外面,1251
shiba inu,柴犬,1251
side-tie leotard,侧系紧身衣,1251
dirndl,少女装,1250
takeuchi takashi,竹内隆,1249
higashi setsuna,东濑那,1248
kaeya (genshin impact),kaeya (genshin Impact),1248
pectoral grab,胸部抓斗,1248
raised fist,举起拳头,1248
hino rei,日野玲,1247
ito noizi,伊藤乃子,1247
multiple condoms,多个避孕套,1247
goblin slayer!,哥布林杀手！,1246
le malin (azur lane),勒马林（蔚蓝车道）,1246
osakabe-hime (fate),osakabe-hime (命运),1246
mizumoto tadashi,水本忠,1245
xenoblade chronicles 1,异种之刃编年史 1,1245
yu-gi-oh! arc-v,游戏王哦！弧-v,1245
after ejaculation,射精后,1244
bowl cut,碗切,1244
cropped vest,短款背心,1244
gamepad,游戏手柄,1244
grey wolf (kemono friends),灰狼 (kemono 朋友),1244
niwatazumi,庭静,1244
nyantcha,夜叉,1244
suzuhira hiro,铃平浩,1244
grey scarf,灰色围巾,1243
mysterious heroine x alter (fate),神秘女主角 x alter (fate),1243
\\o/,\\o/,1242
expressive clothes,富有表现力的衣服,1242
inflation,通货膨胀,1242
pixiv id,pixiv id,1242
santa dress,圣诞老人礼服,1242
window shade,百叶窗,1242
beige sweater,米色毛衣,1241
fujima takuya,藤间拓哉,1241
matsuno todomatsu,松野友松,1241
neck,颈部,1241
triforce,三力,1241
party hat,派对帽,1240
popuko,波普科,1240
charlotte dunois,夏洛特杜诺瓦,1239
harem pants,哈伦裤,1239
jersey,球衣,1239
kemomimi-chan (naga u),kemomimi-chan (naga u),1239
monkey ears,猴耳,1239
anti (untea9),反 (untea9),1238
bear girl,熊女孩,1238
furukawa nagisa,古川渚,1238
leather belt,皮带,1238
skadi the corrupting heart (arknights),腐化之心斯卡迪 (arknights),1238
ezo red fox (kemono friends),ezo 红狐 (kemono 朋友),1237
polka dot swimsuit,波点泳衣,1237
spell card,拼写卡,1237
gym storeroom,健身房储藏室,1236
ribbed bodysuit,罗纹紧身连衣裤,1236
tk8d32,TK8D32,1236
failure penguin,失败企鹅,1235
haruhisky,春日,1235
plaid headwear,格子头饰,1235
scathach skadi (fate),scathach skadi (命运),1235
endeavor (boku no hero academia),努力（boku no hero 学术界）,1234
fukumaru koito,福丸小糸,1234
madotsuki,圆月,1234
narrowed eyes,眯起眼睛,1234
alternate weapon,替代武器,1233
hand on another's stomach,手放在别人的肚子上,1233
jeanne d'arc alter (ver. shinjuku 1999) (fate),jeanne d'arc alter (ver. shinjuku 1999) (fate),1233
lipstick mark,口红标记,1233
open bra,开胸罩,1233
ovum,卵子,1233
panda ears,熊猫耳朵,1233
skyline,天际线,1233
spread toes,伸展脚趾,1233
bayonetta,刺刀,1232
bloop (gawr gura),bloop (gawr gura),1232
furutaka (kancolle),古隆 (kancolle),1232
hidden eyes,隐藏的眼睛,1232
jervis (kancolle),杰维斯 (kancolle),1232
radio,收音机,1232
stone lantern,石灯笼,1232
39,39,1231
omurice,蛋包饭,1231
pet play,宠物游戏,1231
non-humanoid robot,非人形机器人,1230
thigh pouch,大腿袋,1230
h&k hk416,h&k hk416,1229
konno junko,绀野纯子,1229
sangvis ferri,铁血1229,1229
summon night,召唤之夜,1229
yamato-no-kami yasusada,大和神安定1229,1229
baguette,法棍面包,1228
jean pierre polnareff,让·皮埃尔·波尔纳雷夫,1227
mole on neck,脖子上有痣,1227
nagi no asukara,nagi no asukara,1227
tatsumi kanji,辰巳汉字,1227
brushing teeth,刷牙,1226
cowlick,考利克,1226
karin (bunny) (blue archive),卡琳（兔子）（蓝色档案）,1226
medium dress,中号连衣裙,1226
pointless condom,无意义的避孕套,1226
coca-cola,可口可乐,1225
diamond button,菱形纽扣,1225
hayashimo (kancolle),hayashimo (kancolle),1225
index fingers together,食指并拢,1225
mcdonald's,麦当劳,1225
animal feet,动物脚,1224
fake facial hair,假胡须,1224
mega man legends,洛克人传奇,1224
nanairogaoka middle school uniform,七奈冈中学制服 1224,1224
natsume rin,夏目凛,1224
takafumi,高文,1224
weibo logo,微博标志,1224
yuffie kisaragi,如月优菲,1224
eromame,爱罗马,1223
scene reference,场景参考,1223
treasure chest,宝箱,1223
cardfight!! vanguard,打卡！！先锋,1222
kamina (ttgl),卡米纳 (ttgl),1221
mahou girls precure!,mahou 女孩 precure!,1221
berserk,狂暴,1220
utility belt,实用腰带,1220
dakimakura (object),dakimakura（对象）,1219
doughnut hair bun,甜甜圈发髻,1219
propeller,螺旋桨,1219
sitting on stairs,坐在楼梯上,1219
fangs out,獠牙,1218
countdown,倒计时,1217
elesa (pokemon),elesa (口袋妖怪),1217
holding clipboard,拿着剪贴板,1217
imu sanjo,imu 三条,1217
2011,2011,1216
di gi charat,数字特征,1216
excessive pubic hair,阴毛过多,1216
pink sailor collar,粉色水手领,1216
redesign,重新设计,1216
arcana heart,奥术之心,1215
ishikei,石景,1215
micro panties,微型内裤,1215
eureka seven,尤里卡七,1214
fujiwara chika,藤原千花,1214
nian (arknights),年（方舟）,1214
tapir tail,貘尾巴,1214
cow boy,牛男孩,1213
excessive cum,过度 cum,1213
kami nomi zo shiru sekai,kami nomi zo shiru sekai,1213
finger to face,指对面,1212
yaoyorozu momo,yaoyorozu momo,1212
brown kimono,棕色和服,1211
niiko (gonnzou),niiko (gonnzou),1211
pavement,路面,1211
bear print,熊印,1210
hoshi syoko,星相子,1209
mamiya (kancolle),间宫 (kancolle),1209
nanasaki ai,七崎爱,1209
orange sailor collar,橙色水手领,1209
satono diamond (umamusume),佐野钻石 (umamusume),1209
tiki (fire emblem),tiki（火徽）,1209
tribal,部落,1208
yoshikawa chinatsu,吉川 chinatsu,1208
alpha transparency,阿尔法透明度,1207
kawashina (momen silicon),kawashina (摩门矽),1207
sakura futaba,樱花双叶,1207
ajirogasa,ajirogasa,1206
carrying under arm,腋下携带,1206
glomp,咕噜咕噜,1206
kanji,汉字,1206
nishi kinuyo,西kinuyo,1206
yellow wings,黄色翅膀,1206
yuno (hidamari sketch),由野 (hidamari 素描),1206
elin,艾琳,1205
happi,快乐,1205
holding helmet,手持头盔,1204
fighter jet,战斗机,1203
open pants,开裤,1203
sidepec,侧面,1203
takoyaki,章鱼烧,1203
shiromanta,shiromanta,1202
cupping hands,拔罐手,1201
forehead-to-forehead,额头对额头,1201
kamoi (kancolle),kamoi (kancolle),1201
male playboy bunny,男性花花公子兔子,1201
talking on phone,打电话,1201
gundam zz,高达zz,1200
mahou shoujo lyrical nanoha vivid,mahou shoujo 抒情 nanoha 生动,1200
yuusha de aru,yusha de aru,1200
baseball mitt,棒球手套,1199
globe,地球仪,1199
goat ears,山羊耳朵,1199
mizuhara aki,水原明,1199
murakumo kai ni (kancolle),murakumo kai ni (kancolle),1199
oguri cap (umamusume),oguri 帽子 (umamusume),1199
takamaki anne,高卷安妮,1199
byleth (fire emblem) (male),byleth（火徽）（男）,1198
blonde pubic hair,金色阴毛,1197
eyewear on headwear,头饰上的眼镜,1197
hand on breast,手放在乳房上,1197
masturbation through clothes,通过衣服手淫,1197
no testicles,没有睾丸,1197
aaaa (quad-a),aaaa (quad-a),1196
ark royal (kancolle),皇家方舟 (kancolle),1196
cat teaser,猫预告片,1196
oversized shirt,超大号衬衫,1196
overcoat,大衣,1195
turtleneck dress,高领连衣裙,1195
venus symbol,金星符号,1195
alice margatroid (pc-98),alice margatroid (pc-98),1194
leg between thighs,大腿之间的腿,1194
quiz magic academy,测验魔术学院,1193
saria (arknights),莎莉亚（方舟之夜）,1193
to heart,心,1193
vividred operation,生动的操作,1193
tate no yuusha no nariagari,tate no yuusha no nariagari,1192
lisa (genshin impact),丽莎（原神冲击）,1191
lotion bottle,乳液瓶,1191
shin guards,护胫,1191
hauchiwa,华千华,1190
sakuma mayu,佐久间真由,1190
people,人,1189
ultra series,超系列,1189
claw ring,爪环,1188
cutesexyrobutts,1188,1188
diving mask on head,头戴式潜水面罩,1188
italian flag,意大利国旗,1188
naked kimono,裸体和服,1188
roll (mega man),滚（洛克人）,1188
twincest,双胞胎,1188
kris (pokemon),克里斯（宠物小精灵）,1187
palm leaf,棕榈叶,1187
short jumpsuit,短连身衣,1187
lucifer (helltaker),路西法 (helltaker),1186
mixing bowl,搅拌碗,1186
priest,牧师,1186
shantae (series),shantae (系列),1186
twilight (spy x family),暮光之城（间谍 x 家庭）,1186
symboli rudolf (umamusume),象征鲁道夫 (umamusume),1185
tsukioka kogane,月冈小金,1185
cow,牛,1184
impaled,刺穿,1184
orange thighhighs,橙色长筒袜,1184
debt,债务,1182
ichikawa feesu,市川费苏,1182
sheet music,乐谱,1182
aldehyde,醛,1181
blue headband,蓝色头带,1181
gyee,酥油,1181
momosuzu nene,桃铃nene,1181
novel cover,小说封面,1181
saga,传奇,1181
april fools,愚人节,1180
black mask,黑色面具,1180
clock tower,钟楼,1180
holding brush,握刷,1180
tales of symphonia,交响乐的故事,1180
haiyore! nyaruko-san,再见！ nyaruko-san,1179
jako (jakoo21),jako (jakoo21),1179
kimono skirt,和服裙,1179
m4a1 (girls' frontline),m4a1（少女前线）,1179
reiuji utsuho (bird),reiuji utsuho (鸟),1179
screen,屏幕,1179
u.a. school uniform,UA 校服,1179
yukishiro honoka,1179 穗香雪城,1179
red-tinted eyewear,红色眼镜,1178
snorkel,呼吸管,1177
spread pussy under clothes,在衣服下传播猫,1177
grey fur,灰色毛皮,1176
mishima kurone,三岛黑根,1176
onikobe rin,鬼户凛 1176,1176
saku usako (rabbit),saku usako (兔子),1176
cross-shaped pupils,十字形瞳孔,1175
dei shirou,德士柔,1175
foot up,抬起脚,1175
looking at animal,看着动物,1175
oshawott,奥沙沃特,1175
asanagi,朝日,1174
black theme,黑色主题,1174
cloth gag,布塞,1174
imizu (nitro unknown),imizu（硝基未知）,1174
tsukumo benben,tsukumo便便,1174
yes-no pillow,是-否枕头,1174
bulma,布尔玛,1173
incoming food,进货,1172
myoudouin itsuki,明堂院五月,1172
black buruma,黑布鲁马,1171
death note,死亡笔记,1171
okita souji alter (fate),冲田总司alter（命运）,1171
pokemon dppt (anime),宠物小精灵 dppt (动漫),1171
production art,生产艺术,1171
glitch,故障,1170
kaguya luna,辉夜月神,1170
ribbed sleeves,罗纹袖子,1170
school briefcase,学校公文包,1170
tropical drink,热带饮料,1170
stone floor,石地板,1169
cato (monocatienus),卡托 (monocatienus),1168
dido (azur lane),dido (碧蓝航线),1168
little red riding hood (grimm),小红帽（格林）,1168
pokemoa,口袋妖怪,1168
prosthetic leg,假腿,1168
ryu (street fighter),ryu (街头霸王),1168
umikaze (kancolle),海风 (kancolle),1168
frapowa,弗拉波瓦,1167
jaguar ears,美洲虎耳朵,1167
shining (series),闪耀（系列）,1167
. .,. .,1166
brown necktie,棕色领带,1166
nike,耐克,1166
abigail williams (swimsuit foreigner) (fate),abigail williams (泳装老外) (fate),1165
albedo (genshin impact),反照率（原神影响）,1165
mihono bourbon (umamusume),mihono bourbon (umamusume),1165
nekomusume,猫娘,1165
sailor moon redraw challenge (meme),水手月亮重绘挑战（模因）,1165
nekotoufu,猫头府,1164
plaid panties,格子内裤,1164
stadium,体育场,1164
hagikaze (kancolle),萩风 (kancolle),1163
joseph joestar (old),约瑟夫·乔斯塔（旧）,1163
katekyo hitman reborn!,katekyo 杀手重生！,1163
princess principal,公主校长,1163
bruno buccellati,布鲁诺·布契拉蒂,1162
flower request,鲜花请求,1162
shirosato,白里,1162
flip phone,翻盖手机,1161
godzilla (series),哥斯拉 (系列),1161
kettle,水壶,1161
komi shouko,komi shouko,1161
nori tamago,海苔 tamago,1161
pink pants,粉色裤子,1161
sekina,关卡,1161
under night in-birth,在出生的夜晚,1161
crosswalk,人行横道,1160
hand on eyewear,手戴眼镜,1160
homare (fool's art),homare（傻瓜的艺术）,1160
reference inset,参考插图,1160
silver (pokemon),银（口袋妖怪）,1160
stomach cutout,胃切口,1160
karaagetarou,卡拉太郎,1159
food-themed clothes,以食物为主题的衣服,1158
grey bra,灰色文胸,1158
potion,药水,1158
fumio (rsqkr),fumio (rsqkr),1157
specter (arknights),幽灵（方舟）,1157
drawing bow,拉弓,1156
kemono friends v project,kemono 朋友 v 项目,1156
elio (pokemon),埃利奥（宠物小精灵）,1155
hoshiguma (arknights),星熊（方舟骑士）,1155
orange slice,橙片,1155
slapping,拍打,1155
cagliostro (granblue fantasy),cagliostro（碧蓝幻想）,1154
gilles de rais (caster) (fate),gilles de rais（施法者）（命运）,1154
nishi koutarou,西光太郎,1154
plaid pants,格子裤,1154
dragon ball fighterz,龙珠斗士 1153,1153
haramura nodoka,原村nodoka,1153
holding handheld game console,手持游戏机,1153
lube,润滑油,1153
murakami suigun,村上水军,1153
oomuro sakurako,大室樱子,1153
rainbow gradient,彩虹渐变,1153
stab,刺,1153
bodice,紧身胸衣,1152
idol clothes,偶像服装,1152
incoming attack,来袭,1152
kicchou yachie,kicchou yachie,1152
negom,尼甘,1152
nippleless clothes,无乳头的衣服,1152
squirrel girl,松鼠女孩,1152
intravenous drip,静脉滴注,1151
little boy admiral (kancolle),小男孩海军上将 (kancolle),1151
multicolored bow,五彩蝴蝶结,1151
sengoku nadeko,战国抚子,1151
tsurumaru kuninaga,鹤丸国永,1151
blanc (neptune series),blanc（海王星系列）,1149
scooter,踏板车,1149
full-body tattoo,全身纹身,1148
log,日志,1148
print bra,印花文胸,1148
twitching,抽搐,1148
7th dragon (series),第七龙（系列）,1147
my-otome,我的乙女,1147
an-94 (girls' frontline),an-94（少女前线）,1146
blowing kiss,飞吻,1146
breathing fire,喷火,1146
frottage,剪辑,1146
g11 (girls' frontline),g11（少女前线）,1146
origami,折纸,1146
cleaning,清洁,1145
kino makoto,奇诺诚,1145
komano aunn,驹野阿姨,1145
lize helesta,丽泽赫莱斯塔,1145
mayano top gun (umamusume),mayano top gun (umamusume),1145
ranma-chan,乱马酱,1145
brown-framed eyewear,棕框眼镜,1144
makuwauri,幕和里,1144
morino rinze,森之林泽,1144
soccer,足球,1144
sonic the hedgehog,刺猬索尼克 1144,1144
tamura yuri,田村百合,1144
wakabayashi toshiya,若林俊也,1144
holding leaf,拿着叶子,1143
k-suwabe,k-诹访部,1143
lily of the valley,铃兰,1143
stone wall,石墙,1143
unitard,统一,1143
gekkan shoujo nozaki-kun,月刊少女野崎君 1142,1142
orange ascot,橙色阿斯科特,1142
riesz,里斯,1142
yuyushiki,yuyushiki,1142
broken chain,断链,1141
ike (fire emblem),ike（火徽）,1141
red hood,红头罩,1141
tail grab,抓尾,1141
totoki airi,时时空入,1141
fertilization,施肥,1140
oouso,哇哦,1140
shouhou (kancolle),手（kancolle）,1140
steampunk,蒸汽朋克,1140
thrusters,推进器,1139
grey border,灰色边框,1138
humiliation,屈辱,1138
kuwayama chiyuki,桑山千雪,1138
leather gloves,皮手套,1138
marina (splatoon),码头 (splatoon),1138
stream,流,1138
yes,是的,1138
.live,.live,1137
dr rex,雷克斯博士,1137
pokemon platinum,口袋妖怪白金,1137
tail between legs,双腿之间的尾巴,1136
tohno akiha,远野秋叶,1136
ninomiya asuka,二宫明日香,1135
platform heels,厚底高跟鞋,1135
twisted wonderland,扭曲的仙境,1135
wrist guards,护腕,1135
altera (fate),改变（命运）,1134
cheering,欢呼,1134
full-package futanari,全包 futanari,1134
natsuki subaru,夏树昴,1134
kilye kairi,基耶凯里,1133
torn panties,撕裂的内裤,1133
hatsune miku (cosplay),初音未来 (cosplay),1132
bianca (pokemon),比安卡（口袋妖怪）,1131
world flipper,世界脚蹼,1131
etorofu (kancolle),etorofu (kancolle),1130
hamaya,滨屋,1130
hand net,手网,1130
horosuke,庵助,1130
mithra (ff11),密特拉 (ff11),1130
sleeveless hoodie,无袖连帽衫,1130
prisma illya,棱镜伊利亚,1129
sweatpants,运动裤,1129
tokiko (touhou),tokiko (东方),1129
gloves removed,脱掉手套,1128
harry potter (series),哈利波特（系列）,1128
alphes (style),alphes (风格),1127
bird on shoulder,肩上的鸟,1127
happoubi jin,八方笔进,1127
higuchi kaede,樋口枫,1127
theresa apocalypse,特蕾莎启示录,1126
yokochou,横町,1126
cup ramen,杯面,1125
doraemon,哆啦A梦,1125
fumihiko (fu mihi ko),文彦 (fu mihi ko),1125
gaoo (frpjx283),高 (frpjx283),1125
m4 sopmod ii (girls' frontline),m4 sopmod ii (少女前线),1125
onee-loli,一个萝莉,1125
poker chip,扑克筹码,1125
su-san,苏三,1125
wooden table,木桌,1125
yano toshinori,矢野俊典,1125
artoria caster (fate),artoria caster (命运),1124
balancing,平衡,1124
chest belt,胸带,1124
pokedex number,图鉴编号,1124
shinkai no valkyrie,新海之女武神 1124,1124
blue eyeshadow,蓝色眼影,1123
hakama pants,袴裤,1123
hands on feet,手放在脚上,1123
akizuki ryo,秋月凉,1122
ootsuki wataru,大月渡,1122
shinda sekai sensen uniform,新田世界森森制服,1122
oreki houtarou,折木小太郎,1121
goblin,妖精,1120
mechanical tail,机械尾翼,1120
android 21,安卓 21,1119
camellia,山茶花,1119
street fighter iii (series),街头霸王 iii（系列）,1119
eggplant,茄子,1118
wooden fence,木栅栏,1118
bad perspective,不好的观点,1117
kaamin (mariarose753),卡明 (mariarose753),1117
new school swimsuit,新学校泳衣,1117
scorbunny,坏蛋,1117
sponge,海绵,1117
arashi (kancolle),岚 (kancolle),1116
beatmania,节拍狂热,1116
deer,鹿,1116
dragon quest xi,勇者斗恶龙 xi,1116
